iter	Passed	Remaining
704	1492	624
705	1493	622
706	1495	619
707	1497	617
708	1499	615
709	1501	613
710	1503	611
711	1505	608
712	1507	606
713	1508	604
714	1510	602
715	1512	599
716	1514	597
717	1516	595
718	1518	593
719	1520	591
720	1522	588
721	1523	586
722	1525	584
723	1527	582
724	1529	580
725	1531	577
726	1533	575
727	1535	573
728	1537	571
729	1538	569
730	1540	566
731	1542	564
732	1545	562
733	1547	560
734	1548	558
735	1550	556
736	1552	554
737	1554	551
738	1556	549
739	1558	547
740	1560	545
741	1562	543
742	1564	541
743	1565	538
744	1567	536
745	1569	534
746	1571	532
747	1573	530
748	1575	527
749	1577	525
750	1579	523
751	1581	521
752	1582	519
753	1584	517
754	1586	514
755	1588	512
756	1590	510
757	1592	508
758	1594	506
759	1596	504
760	1598	502
761	1600	499
762	1602	497
763	1604	495
764	1606	493
765	1608	491
766	1610	489
767	1612	487
768	1614	484
769	1616	482
770	1618	480
771	1620	478
772	1622	476
773	1624	474
774	1626	472
775	1628	470
776	1630	467
777	1632	465
778	1634	463
779	1636	461
780	1638	459
781	1640	457
782	1642	455
783	1643	452
784	1645	450
785	1647	448
786	1649	446
787	1651	444
788	1653	442
789	1655	440
790	1657	437
791	1659	435
792	1661	433
793	1663	431
794	1665	429
795	1667	427
796	1669	425
797	1671	423
798	1673	420
799	1675	418
800	1677	416
801	1678	414
802	1680	412
803	1683	410
804	1684	408
805	1686	405
806	1688	403
807	1690	401
808	1692	399
809	1694	397
810	1696	395
811	1698	393
812	1700	391
813	1702	388
814	1703	386
815	1705	384
816	1707	382
817	1709	380
818	1711	378
819	1713	376
820	1715	374
821	1717	371
822	1719	369
823	1721	367
824	1723	365
825	1725	363
826	1726	361
827	1728	359
828	1730	357
829	1732	354
830	1734	352
831	1736	350
832	1738	348
833	1740	346
834	1743	344
835	1745	342
836	1747	340
837	1749	338
838	1751	336
839	1753	333
840	1755	331
841	1757	329
842	1759	327
843	1761	325
844	1763	323
845	1765	321
846	1767	319
847	1770	317
848	1771	315
849	1774	313
850	1776	310
851	1778	308
852	1780	306
853	1783	304
854	1786	302
855	1789	301
856	1791	298
857	1793	296
858	1795	294
859	1797	292
860	1799	290
861	1801	288
862	1803	286
863	1806	284
864	1807	282
865	1809	280
866	1811	277
867	1813	275
868	1815	273
869	1817	271
870	1819	269
871	1821	267
872	1823	265
873	1825	263
